fileID,power_mean,power_min,power_max,voiced_fr,pitch_mean,pitch_std,pitch_min,pitch_max,energy_mean,energy_std,energy_min,energy_max,shimmer_mean,shimmer_std,voiced_to_unvoiced_ratio,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,mfcc_1_min,mfcc_2_min,mfcc_3_min,mfcc_4_min,mfcc_5_min,mfcc_6_min,mfcc_7_min,mfcc_8_min,mfcc_9_min,mfcc_10_min,mfcc_11_min,mfcc_12_min,mfcc_13_min,mfcc_1_max,mfcc_2_max,mfcc_3_max,mfcc_4_max,mfcc_5_max,mfcc_6_max,mfcc_7_max,mfcc_8_max,mfcc_9_max,mfcc_10_max,mfcc_11_max,mfcc_12_max,mfcc_13_max,y
00056.wav,0.0030807678,1.0026702e-15,0.1004979,0.7685758513931888,110.14020789812693,14.107567575291169,77.29846247517686,170.54805357686834,0.043447714,0.03437686,0.00088614196,0.15391602,60.100956601635964,12.974047162673397,0.7685758513931888,-403.27634,116.02877,25.920557,39.85906,24.34702,16.804808,-1.8928465,-9.874273,-10.114638,-2.4033124,1.3859676,4.721872,2.8262215,81.85301,51.699654,28.595877,26.96924,18.252659,18.556154,15.512143,14.880675,14.254661,11.900956,10.793253,9.856016,8.493824,-563.9127,-57.522003,-50.30594,-29.81284,-35.37098,-38.012985,-49.720936,-59.068886,-55.17152,-39.516994,-36.18692,-36.41787,-24.818163,-221.66982,211.4708,104.69237,116.07469,80.001785,80.91725,56.212025,20.212261,33.183643,28.08052,25.351086,37.770897,38.017418,0
00056.wav,0.0045876936,5.551115e-17,0.16576156,0.804953560371517,104.72188407035378,10.68020603147395,73.80778788960703,156.39325469067515,0.052288588,0.043010008,0.0007653188,0.19002724,61.72283317013345,12.821157352997142,0.804953560371517,-392.689,116.85809,31.475773,39.449963,25.38725,11.398505,-7.617591,-8.289519,-5.7234335,-2.6118233,0.35400304,9.092027,4.0840726,75.385895,57.197998,29.540594,27.696945,18.60179,18.122583,14.743745,15.244679,12.855722,11.800882,10.868409,11.116661,7.3245554,-555.1035,-71.343796,-45.848526,-29.868107,-34.83234,-38.700424,-48.395424,-65.21717,-49.63926,-38.648712,-36.211464,-21.375097,-23.104763,-203.13515,221.75812,116.18861,118.30113,73.03334,70.06511,26.299828,28.049768,24.28336,27.082348,27.532694,43.72105,34.17182,0
00056.wav,0.0041962294,3.2559946e-18,0.09717778,0.8513931888544891,113.1137668199957,13.175686575407747,80.95422545332349,169.56576906952336,0.05143099,0.039318055,0.0006210077,0.15761897,61.38702877176048,13.42899758674618,0.8513931888544891,-390.5363,118.67727,27.803139,38.08437,24.82046,10.176995,-10.774602,-7.8123555,-5.6867776,-3.384756,-0.4643718,8.898972,3.7802346,87.10266,56.912823,28.205057,23.770405,17.669533,16.300661,15.900829,14.416034,13.002187,11.905705,11.203755,10.376252,7.3872437,-568.7614,-63.020866,-42.69411,-17.783436,-38.57679,-34.81973,-59.326324,-53.472992,-52.22706,-40.07481,-32.820114,-25.164701,-20.510605,-202.0896,231.71017,111.871,119.132355,67.37929,62.12982,25.41015,24.16523,30.179407,25.85662,28.003613,42.260532,29.27008,0
00056.wav,0.0040701535,7.421364e-17,0.13105978,0.8614551083591331,111.45231893489743,17.90351040101588,73.80778788960703,191.43371755306833,0.05192168,0.03703854,0.0008869274,0.19557172,63.25170194041216,10.804342216926539,0.8614551083591331,-375.89746,122.03294,27.552807,39.0771,27.21841,8.6113825,-13.549763,-9.742022,-6.987991,-5.662953,-0.75209075,9.451491,5.2070146,64.4594,54.54426,30.313166,23.181252,15.751783,16.17226,14.255164,13.580836,12.179165,11.020397,10.725377,11.018702,7.879359,-551.0814,-57.307545,-46.64422,-26.001913,-20.674538,-41.932228,-60.982468,-57.849434,-43.945854,-44.459,-33.889294,-26.457903,-20.771595,-221.64893,211.26358,127.37445,108.82677,69.85763,65.217926,27.761478,23.020023,36.17071,19.212574,31.532198,39.403656,28.035503,0
00089.wav,0.00018625724,4.7407673e-18,0.083764836,0.45433436532507737,101.73304278233333,22.36818129045113,65.75526361962497,235.68255189130872,0.009101229,0.010155001,2.2229617e-05,0.057920743,41.581501361413004,18.626959240125867,0.45433436532507737,-500.2203,89.05756,-11.976623,15.624604,23.251732,0.14567712,1.2167834,-13.431807,-15.752416,2.0846415,-1.9502779,-0.7911611,0.6326412,146.12817,78.855804,41.288242,30.977652,25.674519,24.54111,16.600828,16.035137,16.938316,13.1151085,14.005633,9.654482,11.385929,-737.9198,-141.13042,-120.55981,-74.37475,-45.747246,-59.54841,-58.802444,-61.13597,-69.3834,-36.43211,-43.564972,-30.336567,-38.86412,-214.24156,215.08813,93.93497,112.04543,93.50296,63.73784,48.911312,21.317547,23.49239,38.830963,37.47681,23.65952,35.88341,0
00089.wav,0.0001434979,4.7645603e-20,0.11434875,0.4713622291021672,88.98816508832525,13.168047172720069,65.0,148.4707041104003,0.008020129,0.008894546,2.4858788e-05,0.061775487,40.88132778903265,18.177366543172848,0.4713622291021672,-498.43256,93.58135,-10.570063,15.545244,22.35458,-0.7275999,0.9892297,-3.1242561,-9.010753,-0.48032135,3.4302669,4.5828047,-2.3701165,132.12701,78.69424,36.04147,29.730904,23.402882,22.60658,15.388626,13.674642,15.005208,13.404351,12.849311,9.548102,10.058545,-700.6571,-115.98396,-105.60545,-57.577602,-41.902412,-70.647934,-40.970432,-49.344765,-62.29312,-38.83439,-40.54425,-28.366001,-41.345776,-192.66208,223.56906,81.60885,115.36328,99.233536,65.35533,41.61241,32.25127,28.58386,48.388626,39.314995,36.305794,25.455444,0
00089.wav,0.00022167066,6.074897e-20,0.064905345,0.4535603715170279,104.11304460245206,33.681615758817564,65.0,222.45470667747657,0.009725208,0.011238842,2.6983564e-05,0.062771685,43.53332218001619,16.57986715014919,0.4535603715170279,-477.62354,97.72906,-23.888704,14.589674,26.298508,-0.305352,-3.068769,-9.408947,-11.448237,4.9784265,1.3411129,0.3405228,-0.71297735,140.10997,68.78288,36.84654,31.266308,22.253508,21.735426,16.132906,14.646983,16.158155,11.924242,13.349715,10.451384,11.543331,-720.84106,-149.42813,-132.98615,-58.227417,-31.724836,-56.324863,-41.7697,-52.59913,-55.3363,-31.384047,-44.732292,-34.05786,-42.727386,-180.51106,211.48535,90.36342,123.53633,95.97792,58.571743,42.77078,35.627552,24.738419,44.95513,32.868885,29.443565,23.457573,0
00089.wav,0.00023464384,2.2712394e-19,0.057137147,0.4241486068111455,115.44278905592788,39.27321636014033,66.51930297979037,286.82649376257405,0.009746851,0.011766163,2.264079e-05,0.059794426,40.51174871883828,19.36388520812368,0.4241486068111455,-487.99652,72.987495,-15.69449,15.531296,21.794535,-0.48782706,-1.5972538,-7.337438,-11.859403,3.0779266,-0.81106824,-0.46434015,-0.20651071,147.45256,65.42927,38.494663,28.862589,22.909578,22.927841,14.84529,13.557476,18.210644,13.338781,13.094468,9.256194,11.0595875,-688.89575,-112.13335,-110.92761,-58.86794,-48.46469,-62.0863,-42.785515,-48.88642,-71.88393,-39.053074,-42.740166,-29.24238,-45.831688,-180.0643,206.57228,78.50542,111.12646,82.51812,62.912697,41.22254,30.575058,37.739132,52.76814,31.598423,26.957184,36.364624,0
00027.wav,0.00010578202,1.075006e-19,0.016345115,0.6191950464396285,185.70861854145326,31.584383138771173,137.7302022667084,298.66157229922914,0.0073701367,0.0071720625,1.0489337e-05,0.034805868,39.5755344373867,20.2840460564565,0.6191950464396285,-552.9878,100.11413,-19.0826,8.495892,-17.364246,-2.430426,-10.762263,-9.582952,-15.44749,-10.630288,-9.589624,-14.082101,-5.278293,127.94591,73.31935,44.88935,33.20297,29.073986,26.952053,21.877464,17.820204,18.875574,13.733856,12.323577,13.423418,11.289448,-762.8103,-107.45738,-145.24731,-71.84743,-98.64926,-84.04992,-99.12602,-69.65459,-75.92299,-51.578934,-52.86155,-56.782326,-41.8556,-286.4025,224.95613,92.03275,117.26906,44.639194,103.47691,50.55612,58.148666,61.13263,35.18744,30.570522,20.710526,40.447716,0
00027.wav,0.00010271527,4.499087e-21,0.029316515,0.7275541795665634,181.96152019009045,22.566581738547473,88.7926166890357,293.5307452495941,0.00755569,0.0067525744,1.4565553e-05,0.04037593,43.05755146591079,17.099739650937234,0.7275541795665634,-541.584,102.001236,-9.2755575,7.6694736,-16.29934,-0.33445868,-12.125315,-11.368224,-17.662594,-11.981487,-9.322281,-14.910277,-6.248185,103.34505,66.316124,40.904884,33.827423,27.473652,29.499174,21.469318,16.922775,17.42768,13.141262,12.007609,13.312406,11.182828,-739.37146,-113.13304,-132.26028,-103.689445,-109.15697,-74.47252,-83.00106,-88.93635,-61.622944,-64.7458,-45.67999,-54.4022,-40.766113,-278.0959,224.37091,98.14553,105.421196,62.921364,97.350044,39.08778,45.5727,73.62291,31.771461,29.67995,26.845177,48.03005,0
